Puesto,Sueldo_Bruto,Ubicación,Modalidad_Trabajo,Rol,Nivel,Fuente,URL,Fecha_Captura,Sueldo_Aprox_Mercado,Sueldo_Final,Tipo_Dato
Big Data Consultant,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/big-data-consultant-accenture/snowflake-dbt/rf-e4141268d28ce3b9cf40,2026-01-20,56500.0,56500.0,Estimado
Senior Manager (Data Lead),,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-manager-data-lead-michael-page/data/rf-b47f18e5026203a8c542,2026-01-20,56500.0,56500.0,Estimado
Engineer DATA,46000.0,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/engineer-data-krell-consulting-training/azure-synapse/rf-3fa7139d12bd33d43f45,2026-01-20,75000.0,46000.0,Real
Data Engineer - EY GDS Spain,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-ey-gds-spain-ey/databricks-datafactory/rf-58441ccca220433a7449,2026-01-20,75000.0,75000.0,Estimado
"Big Data Engineer Spark, Scala, ELK",,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/big-data-engineer-spark-scala-elk-krell-consulting/apache-spark-hadoop/rf-5ade1ec8920d0367cb41,2026-01-20,75000.0,75000.0,Estimado
Data Architect,,No especificada,No especificado,IT Generalist,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-architect-axiom-software-solutions/azure/rf-9cb8109662aeb3b9354e,2026-01-20,35500.0,35500.0,Estimado
Senior Data Scientist Credit Modelling,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-data-scientist-credit-modelling-bnp-paribas/data/rf-f9e8186fd2854351874a,2026-01-20,56500.0,56500.0,Estimado
Enterprise Architect Data,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/enterprise-architect-data-barcelona/data/rf-2be910c8b2f9232aea42,2026-01-20,56500.0,56500.0,Estimado
Senior Data Engineer,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-data-engineer-wizeline/python-databricks/rf-dc3e17bde2bf1319e840,2026-01-20,75000.0,75000.0,Estimado
Data Engineer - Big Data,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-big-data-akkodis/databricks-spark-scala/rf-cb90142e227e3389d748,2026-01-20,75000.0,75000.0,Estimado
Data Engineer - Big Data,,No especificada,Remoto,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-big-data-akkodis/databricks-spark/rf-f2071587e27843a81d49,2026-01-20,75000.0,75000.0,Estimado
Data Architect,,No especificada,No especificado,IT Generalist,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-architect-axiom-software-solutions/data-gcp/rf-547911e3f23a338b6242,2026-01-20,35500.0,35500.0,Estimado
Data acquisition lead,,No especificada,No especificado,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-acquisition-lead-axiom-software-solutions/data/rf-5ab41aeed2abd3c74540,2026-01-20,56500.0,56500.0,Estimado
Data and AI Regulatory Intelligence,,Barcelona,No especificado,IT Generalist,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-and-ai-regulatory-intelligence-axiom-software/data/rf-134e1209222c23c1cd46,2026-01-20,35500.0,35500.0,Estimado
Pharma Data and AI Regulatory Expert,,No especificada,No especificado,IT Generalist,Mid,Tecnoempleo,https://www.tecnoempleo.com/pharma-data-and-ai-regulatory-expert-axiom-softwar/data-ai/rf-b41b1b74724ac38d6c49,2026-01-20,35500.0,35500.0,Estimado
Data Analyst,,No especificada,No especificado,Data Analyst,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-analyst-plexus/bi/rf-18311a0052639359a441,2026-01-20,58500.0,58500.0,Estimado
Data Engineer with Snowflake,,No especificada,No especificado,Data Engineer,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-with-snowflake-dacdigital/snowflake-git-agile-data-managemen/rf-dd0a133a32934329774c,2026-01-20,51500.0,51500.0,Estimado
DBA Oracle Exadata OCI,,No especificada,Híbrido/Presencial,IT Generalist,Senior,Tecnoempleo,https://www.tecnoempleo.com/dba-oracle-exadata-oci-sopra-steria/oracle/rf-bcc91fc46217435e1a44,2026-01-20,56500.0,56500.0,Estimado
Data Engineers - Talent Community,,No especificada,No especificado,Data Engineer,Mid,Tecnoempleo,https://www.tecnoempleo.com/data-engineers-talent-community-basf/python-sql/rf-f5f71e8912699308d04d,2026-01-20,51500.0,51500.0,Estimado
Data Engineer,,No especificada,No especificado,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/data-engineer-madrid/data-python-sql/rf-77741861e277032bea49,2026-01-20,75000.0,75000.0,Estimado
Senior Data Engineer,,No especificada,Híbrido/Presencial,Data Engineer,Senior,Tecnoempleo,https://www.tecnoempleo.com/senior-data-engineer-sopra-steria/etl-datalakehouse/rf-3cc51df8227023bdfe45,2026-01-20,75000.0,75000.0,Estimado
